903	NM_005586	chr6	+	41714172	41729960	41714465	41729291	5	41714172,41714454,41721841,41725334,41729034,	41714368,41714541,41722024,41725559,41729960,	0	MDFI	cmpl	cmpl	-1,0,1,1,1,
964	NM_000324	chr6	-	49680848	49712546	49681484	49712484	10	49680848,49682519,49682821,49686695,49688068,49690358,49691295,49693739,49694850,49712327,	49681502,49682593,49682892,49686817,49688206,49690525,49691443,49693890,49695034,49712546,	0	RHAG	cmpl	cmpl	0,1,2,0,0,1,0,2,1,0,
911	NM_000322	chr6	-	42772310	42798336	42774010	42798050	3	42772310,42780080,42797469,	42774223,42780327,42798336,	0	PRPH2	cmpl	cmpl	0,2,0,
157	NR_146741	chr6	-	88280371	88356469	88356469	88356469	17	88280371,88281393,88283242,88284605,88285066,88285260,88286019,88286616,88287900,88290993,88295978,88297220,88308354,88321844,88329138,88330566,88356137,	88280936,88281457,88283317,88284701,88285176,88285328,88286144,88286693,88287961,88291089,88296085,88297379,88308431,88321942,88329222,88330669,88356469,	0	RARS2	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
107	NM_138718	chr6	-	36019268	36100255	36019654	36095462	18	36019268,36026917,36027199,36030906,36035214,36035468,36036597,36036747,36038280,36044631,36051129,36052958,36057875,36073492,36075746,36087987,36095274,36100084,	36020095,36027102,36027254,36031275,36035346,36035561,36036667,36036854,36038376,36044709,36051243,36053106,36057958,36073674,36075863,36088127,36095464,36100255,	0	SLC26A8	cmpl	cmpl	0,1,0,0,0,0,2,0,0,0,0,2,0,1,1,2,0,-1,
839	NM_001265596	chr6	+	33365351	33366689	33365611	33366600	5	33365351,33365524,33365928,33366080,33366470,	33365375,33365675,33365999,33366205,33366689,	0	PFDN6	cmpl	cmpl	-1,0,1,0,2,
620	NM_001265596	chr6_cox_hap1	+	4637514	4638852	4637774	4638763	5	4637514,4637687,4638091,4638243,4638633,	4637538,4637838,4638162,4638368,4638852,	0	PFDN6	cmpl	cmpl	-1,0,1,0,2,
618	NM_001265596	chr6_qbl_hap2	+	4443563	4444901	4443823	4444812	5	4443563,4443736,4444140,4444292,4444682,	4443587,4443887,4444211,4444417,4444901,	0	PFDN6	cmpl	cmpl	-1,0,1,0,2,
10	NM_183040	chr6	-	15631784	15771268	15632634	15771079	9	15631784,15641449,15701268,15723476,15735552,15745953,15759522,15760296,15771023,	15632879,15641605,15701291,15723609,15735685,15746014,15759573,15760350,15771268,	0	DTNBP1	cmpl	cmpl	1,1,2,1,0,2,2,2,0,
125	NR_109869	chr6	-	55407129	55551971	55551971	55551971	5	55407129,55412190,55514485,55514816,55551704,	55408520,55412316,55514593,55514897,55551971,	0	HMGCLL1	unk	unk	-1,-1,-1,-1,-1,
607	NM_021160	chr6_qbl_hap2	-	2902315	2918735	2902578	2918656	20	2902315,2902864,2903008,2903190,2903407,2903615,2904089,2904381,2904947,2905444,2905905,2906945,2907170,2908393,2908725,2912321,2916318,2916650,2917448,2918524,	2902662,2902911,2903107,2903267,2903470,2903672,2904153,2904486,2905071,2905494,2905969,2907047,2907285,2908516,2908799,2912407,2916405,2916717,2917505,2918735,	0	ABHD16A	cmpl	cmpl	0,1,1,2,2,2,1,1,0,1,0,0,2,2,0,1,1,0,0,0,
124	NM_001281746	chr6	+	53991672	54190841	53991785	54187959	12	53991672,54094203,54097229,54109471,54121812,54133123,54133272,54133496,54142284,54162626,54174861,54187896,	53991848,54094359,54097622,54111043,54121884,54133189,54133356,54133556,54142329,54162671,54174990,54190841,	0	MLIP	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,
1582	NM_001258278	chr6	+	130783933	130805903	130803260	130804736	2	130783933,130803244,	130784196,130805903,	0	TMEM200A	cmpl	cmpl	-1,0,
1582	NM_001258277	chr6	+	130729118	130805903	130803260	130804736	3	130729118,130748010,130803244,	130729362,130748074,130805903,	0	TMEM200A	cmpl	cmpl	-1,-1,0,
1582	NM_001258276	chr6	+	130729118	130805903	130803260	130804736	2	130729118,130803244,	130729362,130805903,	0	TMEM200A	cmpl	cmpl	-1,0,
197	NM_001258275	chr6	-	130507139	130728263	130507357	130578111	14	130507139,130508177,130508847,130517662,130538678,130546940,130547275,130572332,130577174,130578032,130579408,130585531,130675815,130727957,	130507642,130508260,130509019,130517863,130538846,130547025,130547461,130572446,130577364,130578132,130579454,130585651,130675931,130728263,	0	SAMD3	cmpl	cmpl	0,1,0,0,0,2,2,2,1,0,-1,-1,-1,-1,
1861	NM_001278690	chr6	+	167332794	167375896	167332890	167373597	11	167332794,167333537,167336670,167337200,167337741,167355886,167358259,167360024,167366080,167367352,167373525,	167332992,167333591,167336725,167337289,167337879,167356113,167358372,167360093,167366120,167367449,167375896,	0	FGFR1OP	cmpl	cmpl	0,0,0,1,0,0,2,1,1,2,0,
898	NM_001329689	chr6	-	41142504	41148331	41143051	41146915	5	41142504,41144557,41145792,41146848,41148035,	41143154,41144670,41145851,41146993,41148331,	0	OARD1	cmpl	cmpl	2,0,1,0,-1,
103	NM_001178063	chr6	+	31976754	32021430	31976822	32021113	14	31976754,32009365,32009622,32013074,32014986,32018714,32018980,32019171,32019399,32019672,32019890,32020482,32020735,32020933,	31976895,32009539,32009721,32013215,32015076,32018855,32019075,32019283,32019565,32019749,32019982,32020609,32020785,32021430,	0	C2	cmpl	cmpl	0,1,1,1,1,1,1,0,1,2,1,0,1,0,
216	NM_001164694	chr6	+	150731720	150767458	150731860	150760966	6	150731720,150752180,150755173,150756927,150758283,150760883,	150732038,150752372,150755333,150757084,150758395,150767458,	0	IYD	cmpl	cmpl	0,1,1,2,0,1,
1243	NR_146774	chr6	-	86271933	86360593	86360593	86360593	29	86271933,86273669,86274404,86280236,86280506,86280942,86284192,86284444,86292562,86294698,86296628,86300035,86303228,86305274,86308421,86309618,86310041,86313548,86313753,86313942,86314737,86316159,86324412,86331768,86333970,86338573,86338734,86340694,86360270,	86272442,86273726,86274750,86280332,86280671,86281066,86284312,86284485,86292674,86294799,86296712,86300237,86303361,86305301,86308480,86309743,86310197,86313663,86313834,86313987,86314813,86316316,86324497,86331856,86334014,86338652,86338808,86340815,86360593,	0	SNX14	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1243	NM_001304479	chr6	-	86271933	86360593	86272403	86340799	29	86271933,86273669,86274404,86280236,86280506,86280942,86284192,86284444,86292562,86294698,86296628,86300035,86303228,86305274,86308421,86309618,86310041,86313548,86313753,86313942,86314737,86316159,86324412,86331768,86333970,86338573,86338734,86340694,86360270,	86272442,86273726,86274496,86280332,86280671,86281066,86284312,86284485,86292674,86294799,86296712,86300237,86303361,86305301,86308480,86309743,86310197,86313663,86313834,86313987,86314813,86316316,86324497,86331856,86334014,86338652,86338811,86340815,86360593,	0	SNX14	cmpl	cmpl	0,0,1,1,1,0,0,1,0,1,1,0,2,2,0,1,1,0,0,0,2,1,0,2,0,2,0,0,-1,
843	NM_001184698	chr6	-	33870426	33879771	33870579	33876918	5	33870426,33871278,33874859,33876801,33879707,	33870590,33871360,33874976,33876925,33879771,	0	MLN	cmpl	cmpl	1,0,0,0,-1,
1600	NR_034174	chr6	-	133106701	133120840	133120840	133120840	6	133106701,133112526,133113976,133118674,133120247,133120502,	133107323,133112697,133114110,133118867,133120378,133120840,	0	VNN2	unk	unk	-1,-1,-1,-1,-1,-1,
1600	NR_034173	chr6	-	133106701	133120840	133120840	133120840	6	133106701,133112526,133113976,133118674,133120247,133120502,	133107323,133112697,133114350,133118867,133120378,133120840,	0	VNN2	unk	unk	-1,-1,-1,-1,-1,-1,
197	NM_001277185	chr6	-	130507139	130578723	130507357	130578685	11	130507139,130508177,130508847,130517662,130538678,130546940,130547275,130572332,130577174,130578032,130578634,	130507642,130508260,130509019,130517863,130538846,130547025,130547461,130572446,130577364,130578132,130578723,	0	SAMD3	cmpl	cmpl	0,1,0,0,0,2,2,2,1,0,0,
1800	NM_031924	chr6	-	159313890	159341207	159318557	159340996	8	159313890,159319279,159321793,159323504,159324681,159327299,159334858,159340454,	159318868,159319366,159321956,159323708,159324827,159327441,159334946,159341207,	0	RSPH3	cmpl	cmpl	1,1,0,0,1,0,2,0,
944	NM_025048	chr6	-	47095580	47118058	47096146	47104756	8	47095580,47096425,47097652,47099738,47101548,47103398,47104687,47117885,	47096192,47096484,47097753,47099912,47101698,47103456,47104799,47118058,	0	ADGRF1	cmpl	cmpl	2,0,1,1,1,0,0,-1,
74	NM_052828	chr6_cox_hap1	-	1568367	1577353	1570108	1577277	8	1568367,1570731,1572147,1573359,1573789,1574817,1575568,1576848,	1570192,1570907,1572180,1573475,1573812,1575048,1575664,1577353,	0	TRIM10	cmpl	cmpl	0,1,1,2,0,0,0,0,
603	NR_152834	chr6_qbl_hap2	-	2391327	2403905	2403905	2403905	7	2391327,2391830,2392118,2392233,2393281,2395232,2403613,	2391626,2391863,2392149,2392419,2393548,2395493,2403905,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,-1,-1,-1,
603	NR_152835	chr6_qbl_hap2	-	2391327	2403905	2403905	2403905	2	2391327,2403613,	2391626,2403905,	0	PSORS1C3	unk	unk	-1,-1,
823	NR_152834	chr6	-	31249490	31262073	31262073	31262073	7	31249490,31249993,31250281,31250396,31251444,31253394,31261781,	31249789,31250026,31250312,31250582,31251711,31253655,31262073,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,-1,-1,-1,
603	NR_152836	chr6_qbl_hap2	-	2391327	2403905	2403905	2403905	4	2391327,2392118,2395232,2403613,	2391626,2392149,2395493,2403905,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,
604	NR_152838	chr6_cox_hap1	-	2592788	2605382	2605382	2605382	4	2592788,2594742,2596693,2605090,	2593087,2595009,2596954,2605382,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,
603	NR_152838	chr6_qbl_hap2	-	2391327	2403905	2403905	2403905	4	2391327,2393281,2395232,2403613,	2391626,2393548,2395493,2403905,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,
811	NM_001008229	chr6	+	29732736	29748128	29732965	29747206	6	29732736,29735074,29741907,29743398,29743659,29747177,	29733053,29735422,29742021,29743419,29743680,29748128,	0	MOG	cmpl	cmpl	0,1,1,1,1,1,
15	NM_001172420	chr6	+	52393763	52468542	52396565	52465098	12	52393763,52396443,52396702,52411060,52425444,52426851,52437651,52442089,52451793,52452396,52462896,52465026,	52393825,52396571,52396924,52411348,52425594,52427044,52437872,52442230,52452007,52452544,52463107,52468542,	0	EFHC1	cmpl	cmpl	-1,0,0,0,0,0,1,0,0,1,2,0,
109	NM_001172418	chr6	-	38244204	38671821	38250738	38670089	11	38244204,38268272,38332162,38364025,38420737,38478570,38653353,38655971,38668329,38669717,38671523,	38250936,38268351,38332270,38364215,38420847,38478657,38653473,38656191,38668594,38670129,38671821,	0	BTBD9	cmpl	cmpl	0,2,2,1,2,2,2,1,0,0,-1,
1427	NM_005284	chr6	+	110406151	110408616	110407008	110408097	2	110406151,110406990,	110406363,110408616,	0	GPR6	cmpl	cmpl	-1,0,
818	NM_005275	chr6	-	30617133	30633350	30621827	30631959	12	30617133,30622451,30622867,30623107,30628222,30628839,30629105,30630330,30630519,30630810,30631310,30631886,	30622069,30622592,30623030,30623286,30628417,30628935,30629313,30630402,30630671,30630947,30631476,30633350,	0	GNL1	cmpl	cmpl	1,1,0,1,1,1,0,0,1,2,1,0,
74	NM_005275	chr6_cox_hap1	-	1957709	1973927	1962403	1972536	12	1957709,1963027,1963443,1963683,1968799,1969416,1969682,1970907,1971096,1971387,1971887,1972463,	1962645,1963168,1963606,1963862,1968994,1969512,1969890,1970979,1971248,1971524,1972053,1973927,	0	GNL1	cmpl	cmpl	1,1,0,1,1,1,0,0,1,2,1,0,
598	NM_005275	chr6_qbl_hap2	-	1756004	1772222	1760698	1770831	12	1756004,1761322,1761738,1761978,1767094,1767711,1767977,1769202,1769391,1769682,1770182,1770758,	1760940,1761463,1761901,1762157,1767289,1767807,1768185,1769274,1769543,1769819,1770348,1772222,	0	GNL1	cmpl	cmpl	1,1,0,1,1,1,0,0,1,2,1,0,
166	NM_001323264	chr6	+	97564672	97695351	97564850	97693879	8	97564672,97596088,97619224,97668379,97682000,97685353,97687249,97693717,	97564862,97596196,97619323,97669106,97682059,97685546,97687344,97695351,	0	KLHL32	cmpl	cmpl	0,0,0,0,1,0,1,0,
113	NM_001136126	chr6	-	42010648	42124610	42011655	42012397	4	42010648,42012274,42012950,42124216,	42011823,42012411,42013110,42124610,	0	CCND3	cmpl	cmpl	0,0,-1,-1,
905	NM_001136125	chr6	-	42010648	42017564	42011655	42017365	4	42010648,42012274,42012950,42017167,	42011823,42012411,42013110,42017564,	0	CCND3	cmpl	cmpl	0,1,0,0,
591	NM_206810	chr6_qbl_hap2	+	882023	897416	882252	896490	7	882023,884360,891190,892682,892943,895740,896461,	882340,884708,891304,892703,892964,895761,897416,	0	MOG	cmpl	cmpl	0,1,1,1,1,1,1,
607	NR_024541	chr6_qbl_hap2	-	2927338	2929428	2929428	2929428	3	2927338,2928026,2929123,	2927478,2928152,2929428,	0	LY6G6E	unk	unk	-1,-1,-1,
1443	NR_125353	chr6	+	112482063	112497580	112497580	112497580	6	112482063,112488886,112492650,112494864,112496100,112497234,	112482301,112489184,112492893,112494928,112496294,112497580,	0	WISP3	unk	unk	-1,-1,-1,-1,-1,-1,
122	NM_138694	chr6	-	51588103	52060382	51591837	52057690	67	51588103,51599753,51605321,51611605,51620787,51621841,51631708,51717141,51719477,51720543,51725957,51727540,51745458,51748564,51763992,51803617,51809160,51820531,51828649,51840619,51843260,51855849,51858623,51859889,51876353,51876742,51878971,51882039,51884555,51885122,51906866,51932626,51983065,51990166,51995557,51997330,52000585,52000912,52005786,52008347,52015615,52016381,52017722,52018760,52021248,52022913,52025832,52026794,52028343,52029454,52029646,52031079,52032684,52035275,52037711,52038732,52042213,52043162,52043762,52044871,52046219,52049032,52052656,52055148,52055934,52057638,52060190,	51592277,51599873,51605480,51611713,51620875,51621977,51632726,51717299,51719646,51721422,51726110,51727695,51745546,51748678,51764130,51803746,51809226,51820727,51828827,51840866,51843396,51855984,51858729,51860002,51876484,51876799,51879097,51882231,51884713,51885333,51907079,51932783,51983216,51990386,51995701,51998938,52000653,52001108,52005922,52008478,52015891,52016487,52017845,52018945,52021376,52023052,52026008,52026922,52028486,52029545,52029736,52031358,52032799,52035417,52037807,52038834,52042284,52043202,52043827,52044946,52046298,52049090,52052765,52055299,52056012,52057774,52060382,	0	PKHD1	cmpl	cmpl	1,1,1,1,0,2,1,2,1,1,1,2,1,1,1,1,1,0,2,1,0,0,2,0,1,1,1,1,2,1,1,0,2,1,1,1,2,1,0,1,1,0,0,1,2,1,2,0,1,0,0,0,2,1,1,1,2,1,2,2,1,0,2,1,1,0,-1,
594	NR_001434	chr6_cox_hap1	+	1305598	1309093	1309093	1309093	8	1305598,1305974,1306486,1307347,1307724,1308281,1308456,1308670,	1305850,1306244,1306762,1307622,1307841,1308314,1308503,1309093,	0	HLA-H	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,
28	NM_001080379	chr6	+	163068991	163656514	163069257	163656009	5	163068991,163155168,163403171,163430280,163655848,	163069413,163155303,163403343,163430430,163656514,	0	PACRG	cmpl	cmpl	0,0,0,1,1,
28	NM_001080378	chr6	+	163068153	163656514	163069257	163656009	6	163068153,163069181,163155168,163403171,163430280,163655848,	163068301,163069413,163155303,163403343,163430430,163656514,	0	PACRG	cmpl	cmpl	-1,0,0,0,1,1,
83	NM_001040274	chr6	+	10995049	11082527	10995345	11072025	30	10995049,10999731,11002085,11002303,11006229,11007042,11010895,11011093,11014238,11015760,11018366,11019042,11020891,11021085,11032714,11034557,11035458,11036621,11038588,11039658,11043276,11050677,11050895,11063334,11064354,11067002,11069523,11069718,11072000,11082170,	10995354,10999800,11002223,11002423,11006334,11007067,11010981,11011182,11014273,11015903,11018419,11019088,11020984,11021146,11032860,11034651,11035586,11036669,11038733,11039708,11043406,11050748,11050965,11063436,11064461,11067094,11069623,11069777,11072062,11082527,	0	SYCP2L	cmpl	cmpl	0,0,0,0,0,0,1,0,2,1,0,2,0,0,1,0,1,0,0,1,0,1,0,1,1,0,2,0,2,-1,
1619	NM_001130173	chr6	+	135544145	135582004	135544344	135580811	16	135544145,135548733,135550664,135552621,135552957,135555154,135556668,135557186,135558578,135559791,135561738,135562915,135563120,135564469,135566047,135580694,	135544367,135548851,135550736,135552714,135553178,135555389,135556749,135557291,135558833,135560154,135561881,135563030,135563246,135564580,135566155,135582004,	0	MYB	cmpl	cmpl	0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,
964	NM_001142408	chr6	-	49768029	49789262	49768444	49784868	10	49768029,49771507,49773531,49774033,49775475,49776339,49784802,49786956,49788172,49789152,	49768572,49771596,49773629,49774179,49775563,49776456,49784877,49786993,49788276,49789262,	0	CRISP2	cmpl	cmpl	1,2,0,1,0,0,0,-1,-1,-1,
904	NM_001166424	chr6	-	41816553	41823117	41816690	41823050	7	41816553,41817511,41818005,41818986,41820112,41820373,41822991,	41816943,41817559,41818205,41819105,41820230,41820524,41823117,	0	PGC	cmpl	cmpl	2,2,0,1,0,2,0,
1347	NM_032870	chr6	-	99952647	99979942	99955136	99969256	12	99952647,99957136,99958425,99959199,99960627,99962677,99963769,99965337,99967147,99969168,99970945,99979811,	99956227,99957307,99958479,99959299,99960765,99962868,99963941,99965561,99967336,99969287,99971025,99979942,	0	PNISR	cmpl	cmpl	1,1,1,0,0,1,0,1,1,0,-1,-1,
177	NM_001350666	chr6	+	109522517	109584693	109573117	109583785	7	109522517,109573114,109574653,109578061,109581728,109583125,109583686,	109523471,109573277,109574833,109578135,109581845,109583203,109584693,	0	CEP57L1	cmpl	cmpl	-1,0,1,1,0,0,0,
774	NM_018473	chr6	+	24775241	24813274	24775470	24809822	3	24775241,24806089,24809665,	24775551,24806274,24813274,	0	ACOT13	cmpl	cmpl	0,0,2,
101	NM_003449	chr6	-	30260210	30289250	30261631	30274859	10	30260210,30264922,30265173,30265768,30272271,30274184,30274421,30276790,30280411,30289060,	30262314,30264955,30265289,30265791,30272502,30274280,30275020,30276894,30280521,30289250,	0	TRIM26	cmpl	cmpl	1,1,2,0,0,0,0,-1,-1,-1,
597	NM_003449	chr6_cox_hap1	-	1600847	1629878	1602268	1615488	10	1600847,1605563,1605814,1606410,1612900,1614813,1615050,1617417,1621036,1629688,	1602951,1605596,1605930,1606433,1613131,1614909,1615649,1617521,1621146,1629878,	0	TRIM26	cmpl	cmpl	1,1,2,0,0,0,0,-1,-1,-1,
595	NM_003449	chr6_qbl_hap2	-	1399093	1428139	1400514	1413754	10	1399093,1403813,1404064,1404659,1411166,1413079,1413316,1415685,1419306,1427949,	1401197,1403846,1404180,1404682,1411397,1413175,1413915,1415789,1419416,1428139,	0	TRIM26	cmpl	cmpl	1,1,2,0,0,0,0,-1,-1,-1,
867	NM_014341	chr6	-	37043888	37062305	37044656	37061927	12	37043888,37045792,37046159,37046400,37048456,37051411,37052952,37053387,37053831,37054258,37057341,37061606,	37044728,37045868,37046227,37046448,37048550,37051471,37053004,37053445,37053909,37054365,37057426,37062305,	0	MTCH1	cmpl	cmpl	0,2,0,0,2,2,1,0,0,1,0,0,
85	NM_001322308	chr6	+	12824873	13396054	12826962	13395289	14	12824873,12826916,12857861,13161582,13268421,13290729,13314025,13336026,13338247,13381070,13386478,13391632,13394356,13395273,	12825114,12827065,12858008,13161747,13268502,13290897,13314347,13336274,13338404,13381126,13386540,13391773,13394433,13396054,	0	PHACTR1	cmpl	cmpl	-1,0,1,1,1,1,1,2,1,2,1,0,0,2,
85	NM_001322309	chr6	+	12826526	13396054	12826962	13395289	14	12826526,12826916,12857861,13161582,13268421,13290729,13314025,13336026,13338247,13381070,13386478,13391632,13394356,13395273,	12826658,12827065,12858008,13161747,13268502,13290897,13314347,13336274,13338404,13381126,13386540,13391773,13394433,13396054,	0	PHACTR1	cmpl	cmpl	-1,0,1,1,1,1,1,2,1,2,1,0,0,2,
85	NM_001322310	chr6	+	12826916	13396054	12826962	13395289	14	12826916,12857861,13161582,13268421,13290729,13293009,13314025,13336026,13338247,13381070,13386478,13391632,13394356,13395273,	12827065,12858008,13161747,13268502,13290897,13293216,13314347,13336274,13338404,13381126,13386540,13391773,13394433,13396054,	0	PHACTR1	cmpl	cmpl	0,1,1,1,1,1,1,2,1,2,1,0,0,2,
85	NM_001322311	chr6	+	13065573	13396054	13161608	13395289	12	13065573,13161582,13268421,13290729,13314025,13336026,13338247,13381070,13386478,13391632,13394356,13395273,	13065762,13161747,13268502,13290897,13314347,13336274,13338404,13381126,13386540,13391773,13394433,13396054,	0	PHACTR1	cmpl	cmpl	-1,0,1,1,1,2,1,2,1,0,0,2,
838	NM_001077516	chr6	+	33276580	33280192	33277000	33279568	8	33276580,33276996,33277499,33277826,33278017,33278314,33278664,33279295,	33276693,33277411,33277668,33277880,33278182,33278455,33278861,33280192,	0	SLC39A7	cmpl	cmpl	-1,0,0,1,1,1,1,0,
619	NM_001077516	chr6_cox_hap1	+	4548763	4552375	4549183	4551751	8	4548763,4549179,4549682,4550009,4550200,4550497,4550847,4551478,	4548876,4549594,4549851,4550063,4550365,4550638,4551044,4552375,	0	SLC39A7	cmpl	cmpl	-1,0,0,1,1,1,1,0,
618	NM_001077516	chr6_qbl_hap2	+	4354772	4358384	4355192	4357760	8	4354772,4355188,4355691,4356018,4356209,4356506,4356856,4357487,	4354885,4355603,4355860,4356072,4356374,4356647,4357053,4358384,	0	SLC39A7	cmpl	cmpl	-1,0,0,1,1,1,1,0,
606	NM_001144961	chr6_qbl_hap2	+	2762969	2774216	2763088	2773998	4	2762969,2763556,2773014,2773408,	2763145,2763833,2773191,2774216,	0	NFKBIL1	cmpl	cmpl	0,0,1,1,
165	NM_001322467	chr6	+	97117721	97173221	97158210	97170369	7	97117721,97155649,97158198,97159346,97160498,97165168,97170205,	97117952,97155749,97158369,97159521,97160668,97165355,97173221,	0	FHL5	cmpl	cmpl	-1,-1,0,0,1,0,1,
806	NM_006510	chr6	-	28978757	28999747	28979825	28999388	8	28978757,28982991,28984563,28984728,28987451,28995767,28997647,28998968,	28980421,28983018,28984596,28984844,28987474,28995998,28997743,28999747,	0	TRIM27	cmpl	cmpl	1,1,1,2,0,0,0,0,
1619	NM_001161660	chr6	+	135544145	135582004	135544344	135580811	14	135544145,135548733,135550664,135552621,135552957,135555154,135556668,135558578,135561738,135562915,135563120,135564469,135566047,135580694,	135544367,135548851,135550736,135552714,135553178,135555389,135556749,135558833,135561881,135563030,135563246,135564580,135566155,135582004,	0	MYB	cmpl	cmpl	0,2,0,0,0,2,0,0,0,2,0,0,0,0,
86	NM_005493	chr6	-	13729708	13819775	13730572	13819716	14	13729708,13733863,13740580,13742641,13746018,13747773,13749409,13750689,13752755,13760869,13765319,13766990,13804995,13819145,	13730703,13733975,13740732,13742763,13746166,13747964,13749518,13750802,13752940,13760892,13765487,13767043,13805107,13819775,	0	RANBP9	cmpl	cmpl	1,0,1,2,1,2,1,2,0,1,1,2,1,0,
823	NR_152830	chr6	-	31249490	31262073	31262073	31262073	5	31249490,31249993,31250281,31253394,31261781,	31249789,31250026,31250312,31253655,31262073,	0	PSORS1C3	unk	unk	-1,-1,-1,-1,-1,
865	NR_144384	chr6	-	36753363	36754314	36754314	36754314	1	36753363,	36754314,	0	DINOL	unk	unk	-1,
964	NM_001142417	chr6	-	49768029	49789262	49768444	49784868	10	49768029,49771507,49773531,49774033,49775475,49776339,49784802,49786956,49788172,49789172,	49768572,49771596,49773629,49774179,49775563,49776456,49784877,49786993,49788276,49789262,	0	CRISP2	cmpl	cmpl	1,2,0,1,0,0,0,-1,-1,-1,
1618	NM_001145207	chr6	-	135398687	135417729	135399388	135417522	5	135398687,135402403,135404831,135413412,135417479,	135400857,135402598,135404957,135413478,135417729,	0	HBS1L	cmpl	cmpl	1,1,1,1,0,
827	NR_003673	chr6	-	31788096	31789821	31789821	31789821	3	31788096,31788419,31789516,	31788317,31788545,31789821,	0	LY6G6E	unk	unk	-1,-1,-1,
1438	NR_034111	chr6	+	111911367	111931504	111931504	111931504	4	111911367,111912013,111912639,111931191,	111911561,111912041,111912757,111931504,	0	TRAF3IP2-AS1	unk	unk	-1,-1,-1,-1,
179	NR_034109	chr6	+	111911367	112030190	112030190	112030190	2	111911367,112025733,	111911561,112030190,	0	TRAF3IP2-AS1	unk	unk	-1,-1,
910	NM_001184801	chr6	+	42639737	42696067	42640035	42695222	12	42639737,42649449,42667866,42669906,42679303,42681436,42682304,42687886,42690786,42691717,42693124,42695183,	42640113,42649709,42667945,42670020,42679434,42681575,42682367,42688007,42690894,42691806,42693223,42696067,	0	UBR2	cmpl	cmpl	0,0,2,0,0,2,0,0,1,1,0,0,
608	NM_001199237	chr6_cox_hap1	-	3075131	3080187	3076168	3078382	4	3075131,3077756,3078744,3079764,	3076613,3078481,3078907,3080187,	0	GPANK1	cmpl	cmpl	2,0,-1,-1,
606	NM_001199237	chr6_qbl_hap2	-	2876589	2881650	2877631	2879845	4	2876589,2879219,2880207,2881227,	2878076,2879944,2880370,2881650,	0	GPANK1	cmpl	cmpl	2,0,-1,-1,
1479	NM_001085480	chr6	-	117180052	117193579	117180452	117193432	4	117180052,117189832,117193002,117193260,	117180551,117189941,117193111,117193579,	0	FAM162B	cmpl	cmpl	0,2,1,0,
168	NR_144345	chr6	-	99986905	100070086	100070086	100070086	17	99986905,99991842,99994365,99998161,100019200,100019676,100021268,100023133,100030739,100037349,100042796,100043277,100058361,100062024,100063206,100064717,100069988,	99990443,99991996,99994452,99998259,100019344,100019733,100021360,100023215,100030827,100037480,100042892,100043417,100058462,100062128,100063379,100064827,100070086,	0	USP45	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
601	NM_013993	chr6_qbl_hap2	+	2099260	2114869	2103440	2114009	19	2099260,2100335,2103398,2103618,2103912,2105683,2106090,2106714,2107008,2107780,2107984,2109218,2110116,2111333,2111726,2112091,2112785,2113600,2113868,	2099421,2100391,2103525,2103721,2104141,2105831,2106190,2106901,2107255,2107876,2108136,2109384,2110227,2111578,2111854,2112310,2113020,2113750,2114869,	0	DDR1	cmpl	cmpl	-1,-1,0,1,2,0,1,2,0,1,1,0,1,1,0,2,2,0,0,
1257	NR_026784	chr6	+	88163560	88166178	88166178	88166178	2	88163560,88165874,	88164814,88166178,	0	LINC01590	unk	unk	-1,-1,
142	NM_001350469	chr6	+	72982865	73169566	73002116	73167137	25	72982865,73000196,73002041,73004246,73008737,73012238,73014438,73016753,73017344,73017638,73019184,73024548,73025409,73027128,73032383,73050470,73058357,73073681,73079929,73100023,73157020,73159120,73164671,73165377,73166918,	72983062,73000264,73002152,73004346,73008861,73012285,73014551,73016884,73017516,73017792,73019256,73024705,73025535,73027191,73032473,73050542,73058470,73073794,73080096,73100259,73157159,73159233,73164773,73165517,73169566,	0	RIMS1	cmpl	cmpl	-1,-1,0,0,1,2,1,0,2,0,1,1,2,2,2,2,2,1,0,2,1,2,1,1,0,
